106433,한길비스트로,"분위기가 진짜 좋아서 데이트나 소개팅 장소로 
딱인듯. 합정에서 먹은 회중에 제일 질이 좋았고 메뉴들이 부족한거 없이 다 맛있었음!!!","매장이 청결해요, 오래 머무르기 좋아요, 친절해요, 특별한 메뉴가 있어요, 음식이 맛있어요",분위기
106453,한길비스트로,분위기좋고 매장이 커서 좋습니다~~ 음식들도 맛있어용,"술이 다양해요, 음식이 맛있어요, 특별한 메뉴가 있어요","분위기, 넓은"
106461,한길비스트로,"그냥 영수증 리뷰 키워드 모든걸 눌러주고 싶은만큼 어마어마한 곳,,, lp틀어주시고 분위기 좋고 매장 모던하니 예쁘고 청결하고 친절하고 맛있고 진짜 다합니다.. 안갈이유가 없음!","대화하기 좋아요, 인테리어가 멋져요, 음악이 좋아요, 친절해요, 매장이 청결해요","만족, 분위기, 모던, 응대, 위생"
106465,한길비스트로,"합정역 근처 분위기 좋은 곳이 새로 생겻다고해서 
방문했는데 한길비스트로 좋네요✨️✨️
데이트하기 좋은것같아요~~~","인테리어가 멋져요, 매장이 청결해요, 화장실이 깨끗해요, 특별한 메뉴가 있어요, 음식이 맛있어요",분위기
106473,한길비스트로,와인 종류가 많아서 너무 좋았어요 무엇보다 다른곳에서 먹어보지못한 메뉴들도 많았고 매장이 꽤 커요 조용하게 즐기기 너무 좋네요 사장님 너무 친절하신거같아요~ 또 방문할의사 1000% 입니다,"특별한 날 가기 좋아요, 매장이 청결해요, 특별한 메뉴가 있어요, 음식이 맛있어요, 매장이 넓어요","이색음식, 넓은, 아늑, 응대, 만족"
106480,한길비스트로,"여자친구가 가보자고 해서 가봤는데 
음식이 맛있어서 제가 더 좋아했네요
사장님?매니저님?이신 남성분도 친절하시고
분위기도 좋았어요 재방문의사 있습니다.","음식이 맛있어요, 술이 다양해요, 인테리어가 멋져요, 음악이 좋아요, 친절해요","분위기, 응대"
106487,한길비스트로,분위기 좋고 맛있어요,"단체모임 하기 좋아요, 대화하기 좋아요",분위기
106516,한길비스트로,모임걷굳,"친절해요, 매장이 청결해요, 음악이 좋아요, 인테리어가 멋져요, 대화하기 좋아요",
106526,정광수의돈까스가게,"양이 많아요~ 
돈까스 맛있게 잘 먹고 왔어요 
고추장아찌 하나씩 먹는게 꿀맛!!","혼밥하기 좋아요, 매장이 넓어요, 음식이 맛있어요",가성비
106548,정광수의돈까스가게,,"친절해요, 양이 많아요, 음식이 맛있어요",
106567,정광수의돈까스가게,위치는 조금 외진곳에 있지만 그걸 커버하고 남을 만큼 맛과 가격 그리고 인자한 사장님의 친절함이 돋보였습니다. 경양식 돈가스가 먹고 싶어 방문하였는데 고기가 굉장이 부드럽고 고기 두께도 튀김에 비해 두꺼웠습니다. 그리고 새송이버섯 구이가 함께 나왔는데 조합이 좋았습니다. 재방문 의사 큽니다.,"음식이 맛있어요, 가성비가 좋아요, 인테리어가 멋져요, 혼밥하기 좋아요, 친절해요",응대
106570,정광수의돈까스가게,콤보,"매장이 넓어요, 인테리어가 멋져요, 재료가 신선해요, 양이 많아요, 가성비가 좋아요",
106575,정광수의돈까스가게,아주 좋아요,친절해요,
106582,정광수의돈까스가게,돈까스가 담백하고 양도 많아서 좋음,음식이 맛있어요,
106584,정광수의돈까스가게,아이들이 매우 좋아합니다,"음식이 맛있어요, 양이 많아요",
106588,정광수의돈까스가게,맛있어요 !,"인테리어가 멋져요, 매장이 넓어요, 단체모임 하기 좋아요",
106605,정광수의돈까스가게,맛있어요~~,"음식이 맛있어요, 재료가 신선해요, 친절해요, 주차하기 편해요",
106623,정광수의돈까스가게,"옛날 경양식 돈까스가 먹고 싶어서 방문했는데 너무 맛나고 배부르게 잘 먹었어요~! 사장님두 친절하시고, 청결하고 너무 만족해요^^","친절해요, 혼밥하기 좋아요, 음식이 맛있어요","위생,응대"
106625,정광수의돈까스가게,잘먹고왓어요,,
106633,정광수의돈까스가게,역시 맛있어요~포장도 해왔습니다 ㅎㅎㅎ,,
106641,정광수의돈까스가게,"믿을수없는 가격 8천원에 이런맛 또 없습니다.
코크500ml 1500원, 맥주300CC 2000원. 재방문 또 하겠습니다.",,가성비
106645,정광수의돈까스가게,좋아요,,
106654,정광수의돈까스가게,맛나용~~~,,
106658,정광수의돈까스가게,조아요,,
106669,정광수의돈까스가게,맛있어요~~~,,
106670,정광수의돈까스가게,"남자사장님 굉장히 친절하세요 ~
고기에서 약간의 군내가 나긴 하지만
먹을만하구요.
직접만드신찬들과가성비좋은돈까스
스프다평균이상입니다. ^^",,"응대, 가성비"
106680,정광수의돈까스가게,돈까스 맛집,,
106684,정광수의돈까스가게,돈까스 맛 짱입니다요~~,,
106699,정광수의돈까스가게,"가격도 적당하고 맛있어요!
이사가기전에 재방문 꼭 할거에요~",,
106703,정광수의돈까스가게,"손수 만드신 찬들, 스프, 국, 돈까스까지 모두 정성이 느껴진 한끼였습니다",,응대
106706,정광수의돈까스가게,맛있어요,,
106720,카즈,"여긴 누가 뭐래도 합정 최고의 이자카야.
맛있는 사시미를 기본으로 다양한 안주와 술이 있어서 연말에 방문하기 정말 좋아요~","특별한 메뉴가 있어요, 음식이 맛있어요, 가성비가 좋아요, 술이 다양해요, 친절해요","분위기, 아늑"
106725,카즈,"꽃게가 들어가있을줄이야..
가성비 좋습니다.",음식이 맛있어요,가성비
106730,카즈,"맛있었어요. 
나베도 사시미도 근데 엄청 특별한맛이라던가 분위기라던가 그런 느낌은 아니였어요 ! 웨이팅하기에는 부족한 느낌?!",음식이 맛있어요,
106738,카즈,"사시미+우니 세트
토마토나베
모듬덴뿌라
화요25

먹었는데 매우 만족스러웠습니다. 거를 타선이 없었음",음식이 맛있어요,
106753,카즈,굿좋아요,"음식이 맛있어요, 가성비가 좋아요",
106757,카즈,처음가보는데 너무 만족했어요,"음식이 맛있어요, 특별한 메뉴가 있어요, 술이 다양해요, 음악이 좋아요, 매장이 청결해요",
106760,카즈,"숙성도 딱 좋고 모듬 구성도 좋아요
토마토 나베도 양식 일식 퓨전이 절묘합니다.
사와 , 진토닉도 맛있어요","대화하기 좋아요, 혼술하기 좋아요, 음식이 맛있어요, 술이 다양해요, 특별한 메뉴가 있어요",
106776,카즈,지금까지 다녀본 이자카야중에 분위기에 맛도 제일 좋아요!!!! 사시미 다 신선하고 튀김 예술입니다👏👏,,"분위기, 위생"
106778,카즈,메뉴도 다양하고 갈치덴푸라 특히 맛있네요 잘먹고갑니다~~,,
106783,카즈,추천각,,
106786,카즈,존맛탱 굿굿,,
106790,카즈,"하몽도 사시미도 너무 맛있어요!
사시미뿐만 아니라 하몽도 꼭 드셔보세요~",,
106794,카즈,사시미 아주 좋아요!,,
106799,카즈,금태구이 진짜 맛있어요,,
106810,하동우렁추어탕 합정본점,기본 추어탕도 맛있어요. 반찬 낙지젓깔도 맛있고요. 깔끔하게 나오고 너무 맛있어요.,"재료가 신선해요, 음식이 맛있어요",위생
106822,하동우렁추어탕 합정본점,"맛나고 깔끔 친절
3박자가 척척","친절해요, 매장이 청결해요, 화장실이 깨끗해요, 음식이 맛있어요","위생, 응대"
106833,하동우렁추어탕 합정본점,"정말맛있어요!!
추어탕맛집이별로없는데,이곳은정말맛있고,푸짐해요!
다음에똑방문하려고요!","음식이 맛있어요, 재료가 신선해요, 친절해요, 혼밥하기 좋아요",가성비
106856,하동우렁추어탕 합정본점,여기는 정말 맛집,"음식이 맛있어요, 재료가 신선해요, 주차하기 편해요",
106882,하동우렁추어탕 합정본점,맛있어요,음식이 맛있어요,
106886,하동우렁추어탕 합정본점,솥밥이 너무 맛있어요,음식이 맛있어요,
106890,하동우렁추어탕 합정본점,추어탕맛있고 치즈돈가스맛있네요👍,음식이 맛있어요,
106891,하동우렁추어탕 합정본점,맛있어요!,"양이 많아요, 음식이 맛있어요",
106899,하동우렁추어탕 합정본점,좋아요,음식이 맛있어요,
106907,하동우렁추어탕 합정본점,추어탕 고소하고 솥밥의 쌀이 기름지고 맛있음,음식이 맛있어요,
106914,하동우렁추어탕 합정본점,좋아요,,
106915,하동우렁추어탕 합정본점,좋아요,,
106919,하동우렁추어탕 합정본점,굿,단체모임 하기 좋아요,
106933,하동우렁추어탕 합정본점,굳,음식이 맛있어요,
106935,하동우렁추어탕 합정본점,너무 맛나게 먹었어요,"음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 친절해요, 매장이 청결해요",
106943,하동우렁추어탕 합정본점,굿,"친절해요, 특별한 날 가기 좋아요, 특별한 메뉴가 있어요",
106949,하동우렁추어탕 합정본점,우렁추어탕 맛있어요.,음식이 맛있어요,
106973,하동우렁추어탕 합정본점,맛있어요,"매장이 청결해요, 음식이 맛있어요, 재료가 신선해요",
106996,하동우렁추어탕 합정본점,좋아요,음식이 맛있어요,
106997,하동우렁추어탕 합정본점,굿,음식이 맛있어요,
107027,하동우렁추어탕 합정본점,😆,음식이 맛있어요,
